text,label,category
"Send us the OTP and UPI PIN to activate your cashback of Rs 48,000.",scam,otp_phishing
Reminder from the Kochi municipal office: property tax can be paid online until 31st on the official portal.,safe,safe_none
Final reminder from SBI. Account dormant hone se bachane ke liye https://hdfc-secure-login.xyz/auth par details bharein.,scam,kyc_bank
Warrant issued in your name by Customs Department. Video call verification is mandatory within today 6 PM or the arrest team will reach your home.,scam,digital_arrest
"Aapka courier customs mein ruka hai. Rs 3,499 duty rbi.verify@okicici par bhejein warna wapas chala jayega.",scam,delivery_parcel
ALERT ICICI Bank: Debit card will be deactivated in today 6 PM. Verify card number and CVV here http://tinyurl.com/kyc-updt,scam,kyc_bank
Aapka Canara Bank account KYC pending hai. Jaldi karein warna paisa block ho jayega. Link: http://sbi-kyc-verify.info/update,scam,kyc_bank
"Hi, this is Sunita from the Jaipur showroom. Your car service is complete, you can pick it up anytime today.",safe,safe_none
"Electricity bill refund of Rs 75,000 pending. Accept the collect request from rbi.verify@okicici using PIN.",scam,upi_collect
Sir aapko prepaid task diya gaya hai. 3 task complete karke 1500 rupaye kamayein. Pehle 5000 deposit karna hoga.,scam,job_investment
"150844 is your One Time Password for a Google Pay transaction of Rs 48,000. Valid for 10 minutes. Never share it.",safe,safe_none
"351599 is your One Time Password for a PhonePe transaction of Rs 1,20,000. Valid for 10 minutes. Never share it.",safe,safe_none
"Double your money in 15 days with our trading bot. Minimum investment Rs 25,000. 100% safe, no risk.",scam,job_investment
WiFi router hacked. Install this app https://icici-rewards.top/claim and share your screen so we can secure your device.,scam,tech_support
"Congratulations Farhan, your leave request has been approved by your manager.",safe,safe_none
WiFi router hacked. Install this app https://hdfc-secure-login.xyz/auth and share your screen so we can secure your device.,scam,tech_support
More Supermarket loyalty: you earned 120 points on your last visit. Points never expire and no payment is needed to claim them.,safe,safe_none
"Hello dear, I am a doctor working in the UK. I want to send you a gift parcel, just pay the customs fee of Rs 48,000.",scam,romance_matrimonial
"Dear Customer, Rs 2,500 debited from your Kotak Bank A/c XX4521 on 12-08 to VPA grocerystore@okhdfc. Not you? Call the number on your card.",safe,safe_none
"Urgent: the flood relief fund needs your help. Donate Rs 3,499 to taskpay01@upi and save lives today.",scam,charity_donation
Reminder from the Lucknow municipal office: property tax can be paid online until 31st on the official portal.,safe,safe_none
"Dear user your Google Pay KYC is incomplete, wallet will be closed in 24 hours. Complete KYC https://axisbank.verify-account.click/login",scam,kyc_bank
"Hello, this is the courier boy, I am at your gate with an Amazon package. Please come down.",safe,safe_none
RBI mandate: all Kotak Bank customers must re-do KYC before 30 minutes. Failure means permanent block. http://kyc-update-online.loan/form,scam,kyc_bank
"Aapse baat karke accha laga. Main foreign se gift bhej raha hoon, bas custom charge 48,000 bhar dijiye.",scam,romance_matrimonial
"Aapne KBC lottery mein 25 Lakh jeeta hai! Claim karne ke liye rbi.verify@okicici par 48,000 bhejein.",scam,lottery_prize
"Hi, this is Ramesh from the plumbing service. I will reach your flat around 5 PM today.",safe,safe_none
Result declared. Your semester 4 marks are available on the university portal. Login with your roll number.,safe,safe_none
"Dear customer, your PNB cheque book request 2262688 has been dispatched to your registered address in Indore.",safe,safe_none
Apollo Pharmacy sale starts Friday. Up to 40% off in store. No coupon or advance payment required.,safe,safe_none
"OLX buyer here, I am an army officer, I have sent Rs 4,999. Scan this QR code to receive the money.",scam,upi_collect
Delivery failed. Reschedule by paying a Rs 25 verification charge at https://hdfc-secure-login.xyz/auth,scam,delivery_parcel
"Your train PNR 4523118090 is confirmed, coach B4 seat 22. Happy journey - IRCTC.",safe,safe_none
Sir I am calling from SBI. To reverse the wrong transaction please share the OTP you just received.,scam,otp_phishing
"Guaranteed 200% return in 30 days! Invest Rs 2,500 in our crypto plan today. Limited slots.",scam,job_investment
"You are the lucky winner of 5 Crore from the Flipkart Big Billion Draw. Pay GST Rs 4,999 to release the amount.",scam,lottery_prize
WINNER! Your mobile number is selected for a Rs 50 Lakh prize. Share bank details at https://axisbank.verify-account.click/login,scam,lottery_prize
"Pre-approved personal loan of Rs 25,000. No CIBIL check. Pay Rs 999 processing fee at kycsupport@ybl to disburse.",scam,loan_app
"Congratulations, your Axis Bank fixed deposit of Rs 3,499 has matured. Visit your branch or netbanking to renew.",safe,safe_none
Your order from Reliance Fresh is packed and will be delivered to your Pune address tomorrow.,safe,safe_none
"Paytm: Rs 48,000 paid to Cafe Coffee Day. UPI Ref 1679062. Your balance has been updated.",safe,safe_none
"You are under digital arrest by Mumbai Cyber Cell. Transfer Rs 75,000 to the RBI verification account for clearance.",scam,digital_arrest
"Flight 6E-2043 Delhi to Pune is on time, boarding at gate 14 from 6:20 PM.",safe,safe_none
"Refund initiated. Approve the payment request of Rs 3,499 and enter PIN to get the money credited.",scam,upi_collect
"Aapka courier customs mein ruka hai. Rs 2,500 duty kycsupport@ybl par bhejein warna wapas chala jayega.",scam,delivery_parcel
Your Axis Bank account statement for August is attached in the secure inbox at https://cybercrime.gov.in,safe,safe_none
India Post: shipment could not be delivered. Update the address within 24 hours at http://192.168.44.10/netbanking or it will be returned.,scam,delivery_parcel
"Dear customer you won 10 Lakh in the Amazon anniversary lucky draw. Deposit refundable Rs 2,500 at refund.helpdesk@okaxis.",scam,lottery_prize
Your OTP for login is 738291. Do not share this OTP with anyone.,safe,safe_none
"Congratulations Deepak, your leave request has been approved by your manager.",safe,safe_none
Your order from More Supermarket is packed and will be delivered to your Bhopal address tomorrow.,safe,safe_none
"Instant loan Rs 1,20,000 approved without documents! Download our app from https://icici-rewards.top/claim and get money in 5 minutes.",scam,loan_app
"Send us the OTP and UPI PIN to activate your cashback of Rs 4,999.",scam,otp_phishing
"PhonePe: Rs 9,850 paid to Cafe Coffee Day. UPI Ref 8773168. Your balance has been updated.",safe,safe_none
Big Bazaar loyalty: you earned 120 points on your last visit. Points never expire and no payment is needed to claim them.,safe,safe_none
"Aapka recharge Rs 9,850 ka safal raha. Validity 28 din.",safe,safe_none
More Supermarket sale starts Friday. Up to 40% off in store. No coupon or advance payment required.,safe,safe_none
"Hum Kotak Bank se hain, aapke account mein galat paisa aa gaya hai. OTP share kijiye taaki wapas ho sake.",scam,otp_phishing
"Badhai ho! Aapka number lottery mein select hua hai. Inaam 5 Crore. WhatsApp karein aur 3,499 fees bharein.",scam,lottery_prize
"Aapse baat karke accha laga. Main foreign se gift bhej raha hoon, bas custom charge 3,499 bhar dijiye.",scam,romance_matrimonial
"Sir screen share kijiye AnyDesk se, hum aapka phone virus free kar denge, sirf 2999 charge lagega.",scam,tech_support
"Dear customer, your ICICI Bank cheque book request 7896122 has been dispatched to your registered address in Jaipur.",safe,safe_none
WINNER! Your mobile number is selected for a Rs 25 Lakh prize. Share bank details at https://axisbank.verify-account.click/login,scam,lottery_prize
Kotak Bank branch in Kochi will remain closed on Saturday for the regional holiday. ATMs will work as usual.,safe,safe_none
"Ghar baithe kaam karein, roz 3000 rupaye kamayein. Sirf mobile chahiye. Registration fees 1,20,000 only.",scam,job_investment
Your test results from the Indore lab are ready. Collect them from the reception or download from the portal.,safe,safe_none
Water supply will be interrupted tomorrow 10 AM to 2 PM for pipeline maintenance.,safe,safe_none
"You have a collect request of Rs 3,499 from kycsupport@ybl. Enter your UPI PIN to receive your refund.",scam,upi_collect
"Your Windows license has expired. Allow remote access via AnyDesk so our engineer can fix it. Fee Rs 9,850.",scam,tech_support
"Your policy premium of Rs 75,000 has been received. The policy remains active. Thank you.",safe,safe_none
